chr	start	end	CpG	C15_S1_dedup5-N	C15_S1_dedup5-X	C19_S2_dedup5-N	C19_S2_dedup5-X	C33_S3_dedup5-N	C33_S3_dedup5-X	C36_S4_dedup5-N	C36_S4_dedup5-X	C55_S5_dedup5-N	C55_S5_dedup5-X	C59_S6_dedup5-N	C59_S6_dedup5-X
chr10	3249382	3249600	7	NA	NA	24	23	NA	NA	21	20	NA	NA	NA	NA
chr10	4423985	4424042	12	36	0	NA	NA	NA	NA	NA	NA	24	0	NA	NA
chr10	4752849	4752932	3	NA	NA	NA	NA	NA	NA	NA	NA	29	3	NA	NA
chr10	5957932	5958031	6	NA	NA	25	0	NA	NA	NA	NA	NA	NA	NA	NA
chr10	6012310	6012605	9	NA	NA	NA	NA	22	0	27	2	25	0	NA	NA
chr10	6012800	6012885	5	NA	NA	NA	NA	NA	NA	26	6	NA	NA	NA	NA
chr10	6978713	6978869	5	NA	NA	NA	NA	NA	NA	24	11	24	14	24	10
chr10	7309177	7309427	7	NA	NA	21	1	NA	NA	NA	NA	NA	NA	NA	NA
chr10	7331828	7331987	4	NA	NA	NA	NA	NA	NA	21	13	20	14	NA	NA
chr10	7400654	7400770	9	24	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	7456585	7456742	6	NA	NA	NA	NA	NA	NA	21	16	NA	NA	NA	NA
chr10	7876156	7876301	9	NA	NA	21	21	NA	NA	31	30	NA	NA	NA	NA
chr10	8271822	8271867	4	NA	NA	NA	NA	NA	NA	30	28	NA	NA	24	24
chr10	8791622	8791633	4	NA	NA	NA	NA	NA	NA	NA	NA	26	0	NA	NA
chr10	9396778	9396831	8	NA	NA	24	3	NA	NA	NA	NA	NA	NA	NA	NA
chr10	9622243	9622371	5	NA	NA	NA	NA	NA	NA	24	6	26	14	NA	NA
chr10	10041200	10041291	6	NA	NA	NA	NA	NA	NA	26	1	NA	NA	NA	NA
chr10	10300696	10300820	3	NA	NA	NA	NA	NA	NA	24	9	NA	NA	NA	NA
chr10	10868793	10869023	9	33	1	39	3	57	1	66	7	55	2	61	2
chr10	10871442	10871562	8	NA	NA	NA	NA	NA	NA	27	25	28	26	NA	NA
chr10	10984215	10984338	4	24	22	NA	NA	41	40	41	39	28	27	31	27
chr10	12267722	12267992	8	24	0	NA	NA	NA	NA	NA	NA	NA	NA	20	0
chr10	12641467	12641644	7	NA	NA	NA	NA	NA	NA	NA	NA	25	0	NA	NA
chr10	12642878	12642930	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	0
chr10	12729109	12729311	7	NA	NA	NA	NA	NA	NA	27	22	26	22	NA	NA
chr10	12810891	12810933	7	NA	NA	21	7	NA	NA	NA	NA	NA	NA	NA	NA
chr10	12912968	12913012	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	4
chr10	13273566	13273722	6	NA	NA	NA	NA	26	2	44	2	36	1	NA	NA
chr10	13284759	13285156	12	28	3	36	6	40	9	50	12	48	6	22	5
chr10	13684415	13684554	16	NA	NA	21	6	21	0	NA	NA	34	9	NA	NA
chr10	13685507	13685530	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	0
chr10	13917143	13917265	4	NA	NA	NA	NA	NA	NA	NA	NA	22	1	NA	NA
chr10	14287164	14287251	5	NA	NA	21	18	NA	NA	NA	NA	22	15	38	28
chr10	14466294	14466402	8	NA	NA	NA	NA	NA	NA	21	21	NA	NA	NA	NA
chr10	14588598	14588739	4	NA	NA	21	19	NA	NA	36	30	24	20	NA	NA
chr10	15466481	15466542	3	NA	NA	NA	NA	NA	NA	22	18	NA	NA	NA	NA
chr10	15898777	15898901	4	NA	NA	NA	NA	NA	NA	27	7	26	11	NA	NA
chr10	16320871	16320883	4	NA	NA	NA	NA	NA	NA	NA	NA	26	4	NA	NA
chr10	16815216	16815390	7	NA	NA	28	23	22	14	38	30	21	18	20	19
chr10	17403808	17403883	4	NA	NA	NA	NA	22	5	NA	NA	33	15	NA	NA
chr10	17442483	17442569	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31	10
chr10	17445066	17445243	5	NA	NA	NA	NA	NA	NA	22	0	NA	NA	NA	NA
chr10	17489735	17489831	4	NA	NA	NA	NA	NA	NA	20	19	NA	NA	NA	NA
chr10	17785742	17786008	9	NA	NA	NA	NA	25	18	NA	NA	23	18	20	19
chr10	17955336	17955503	11	29	2	NA	NA	NA	NA	NA	NA	NA	NA	20	5
chr10	18247967	18248104	3	30	14	25	6	26	15	30	19	31	9	25	10
chr10	19076714	19076779	7	NA	NA	NA	NA	NA	NA	NA	NA	27	4	NA	NA
chr10	19351435	19351482	6	NA	NA	20	0	NA	NA	NA	NA	26	0	NA	NA
chr10	19597630	19597807	7	NA	NA	NA	NA	NA	NA	NA	NA	21	15	NA	NA
chr10	19844247	19844433	8	NA	NA	NA	NA	NA	NA	26	19	NA	NA	35	26
chr10	19867962	19868160	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	1
chr10	19869506	19869633	6	NA	NA	NA	NA	NA	NA	NA	NA	25	0	23	0
chr10	20068086	20068361	8	NA	NA	NA	NA	20	3	48	4	32	6	27	7
chr10	20237363	20237424	4	NA	NA	NA	NA	NA	NA	32	27	NA	NA	NA	NA
chr10	20238463	20238634	7	34	21	52	42	43	31	45	33	54	34	53	36
chr10	20288546	20288649	4	NA	NA	NA	NA	20	3	NA	NA	NA	NA	NA	NA
chr10	20685801	20686079	9	NA	NA	NA	NA	NA	NA	24	7	NA	NA	NA	NA
chr10	20766747	20766900	6	29	11	35	20	34	15	30	25	46	33	NA	NA
chr10	20908795	20908973	6	40	0	NA	NA	27	0	31	0	20	0	NA	NA
chr10	20986497	20986598	3	NA	NA	NA	NA	22	16	NA	NA	NA	NA	22	18
chr10	21016081	21016148	8	NA	NA	NA	NA	NA	NA	31	11	NA	NA	NA	NA
chr10	21140287	21140606	12	20	8	25	10	23	9	51	27	29	9	40	9
chr10	21232641	21232901	7	NA	NA	NA	NA	NA	NA	20	12	NA	NA	NA	NA
chr10	21267636	21267754	5	NA	NA	NA	NA	22	21	NA	NA	NA	NA	NA	NA
chr10	21407596	21407748	8	NA	NA	24	0	32	3	33	3	21	0	NA	NA
chr10	21538436	21538524	3	NA	NA	NA	NA	NA	NA	20	18	NA	NA	NA	NA
chr10	21698245	21698566	8	NA	NA	25	21	22	20	NA	NA	NA	NA	NA	NA
chr10	21713003	21713058	8	NA	NA	NA	NA	NA	NA	NA	NA	24	7	NA	NA
chr10	21753023	21753101	3	NA	NA	NA	NA	21	15	NA	NA	NA	NA	NA	NA
chr10	21754096	21754452	11	40	10	29	8	51	9	38	10	39	3	21	0
chr10	21778508	21778634	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	2
chr10	21869097	21869151	9	32	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	21870239	21870597	17	21	0	NA	NA	NA	NA	50	14	37	9	NA	NA
chr10	21870699	21870988	12	NA	NA	21	3	45	1	NA	NA	NA	NA	24	1
chr10	21871487	21871635	6	NA	NA	NA	NA	NA	NA	29	1	NA	NA	NA	NA
chr10	21878732	21879013	15	37	1	NA	NA	22	0	NA	NA	42	0	32	1
chr10	21993583	21993905	16	NA	NA	35	1	34	0	64	2	29	1	27	1
chr10	22365091	22365135	7	NA	NA	21	12	NA	NA	NA	NA	NA	NA	NA	NA
chr10	22434377	22434417	4	NA	NA	NA	NA	NA	NA	23	18	NA	NA	NA	NA
chr10	23640569	23640888	8	NA	NA	26	26	NA	NA	NA	NA	NA	NA	NA	NA
chr10	24255448	24255513	4	NA	NA	NA	NA	NA	NA	23	3	NA	NA	NA	NA
chr10	24337556	24337720	6	NA	NA	NA	NA	26	24	26	24	36	34	NA	NA
chr10	24589374	24589450	5	NA	NA	NA	NA	NA	NA	29	7	NA	NA	NA	NA
chr10	24590592	24590647	3	NA	NA	NA	NA	NA	NA	23	8	NA	NA	NA	NA
chr10	24860419	24860544	5	21	11	NA	NA	NA	NA	21	18	42	33	NA	NA
chr10	25016526	25016587	6	NA	NA	NA	NA	21	0	NA	NA	NA	NA	NA	NA
chr10	25178992	25179026	4	NA	NA	NA	NA	NA	NA	22	21	NA	NA	NA	NA
chr10	25341242	25341351	5	NA	NA	26	2	NA	NA	39	3	31	1	25	0
chr10	25553385	25553604	10	NA	NA	NA	NA	31	26	31	23	51	41	21	16
chr10	27991750	27991826	5	NA	NA	NA	NA	29	9	24	10	NA	NA	21	11
chr10	28918786	28918882	4	42	39	30	26	33	29	45	38	36	34	NA	NA
chr10	29334235	29334342	4	NA	NA	NA	NA	NA	NA	25	24	27	26	NA	NA
chr10	30021577	30021806	6	27	20	34	24	22	14	31	16	26	17	28	19
chr10	30522688	30522741	6	NA	NA	NA	NA	NA	NA	NA	NA	24	0	NA	NA
chr10	30562343	30562460	11	NA	NA	33	0	NA	NA	NA	NA	NA	NA	NA	NA
chr10	31090155	31090198	4	NA	NA	NA	NA	NA	NA	NA	NA	21	3	NA	NA
chr10	31328402	31328469	8	NA	NA	21	0	NA	NA	NA	NA	NA	NA	NA	NA
chr10	33409296	33409503	7	NA	NA	NA	NA	NA	NA	23	22	NA	NA	NA	NA
chr10	33602126	33602189	4	20	20	21	19	25	24	27	24	24	22	NA	NA
chr10	33613352	33613417	4	NA	NA	NA	NA	NA	NA	27	20	NA	NA	20	20
chr10	33624924	33624940	4	NA	NA	NA	NA	24	1	NA	NA	NA	NA	NA	NA
chr10	33670586	33670827	12	NA	NA	NA	NA	26	7	34	7	NA	NA	NA	NA
chr10	33671221	33671447	7	NA	NA	21	2	NA	NA	25	3	21	0	NA	NA
chr10	34000721	34000854	6	NA	NA	NA	NA	NA	NA	NA	NA	25	6	NA	NA
chr10	34138339	34138392	9	NA	NA	NA	NA	NA	NA	28	10	NA	NA	NA	NA
chr10	34618795	34618881	9	NA	NA	NA	NA	34	34	24	22	NA	NA	21	21
chr10	36552731	36552880	5	NA	NA	NA	NA	20	15	26	23	NA	NA	NA	NA
chr10	36860596	36860771	11	21	0	NA	NA	NA	NA	45	1	NA	NA	NA	NA
chr10	38853164	38853298	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	20
chr10	39312612	39312983	7	NA	NA	NA	NA	20	19	NA	NA	NA	NA	NA	NA
chr10	39313120	39313433	8	31	26	24	18	43	34	57	46	75	53	36	30
chr10	39450841	39450940	5	27	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	39679735	39679789	7	NA	NA	NA	NA	NA	NA	NA	NA	21	0	NA	NA
chr10	39848512	39848636	4	NA	NA	NA	NA	21	19	NA	NA	NA	NA	NA	NA
chr10	39915104	39915422	8	NA	NA	21	15	39	32	30	23	32	28	29	26
chr10	40022837	40022970	4	NA	NA	NA	NA	NA	NA	20	4	NA	NA	NA	NA
chr10	40244981	40245155	8	NA	NA	NA	NA	NA	NA	NA	NA	34	16	NA	NA
chr10	40602166	40602367	7	NA	NA	NA	NA	24	1	NA	NA	NA	NA	NA	NA
chr10	40604693	40604891	4	NA	NA	NA	NA	NA	NA	20	4	NA	NA	20	4
chr10	40605366	40605499	6	NA	NA	NA	NA	30	26	50	41	34	26	NA	NA
chr10	40790835	40790891	7	NA	NA	NA	NA	NA	NA	23	8	NA	NA	NA	NA
chr10	41023246	41023360	5	22	0	NA	NA	20	0	NA	NA	21	1	NA	NA
chr10	41023926	41024100	6	NA	NA	NA	NA	NA	NA	NA	NA	24	0	21	0
chr10	41130560	41130631	3	NA	NA	NA	NA	22	22	40	32	34	30	33	26
chr10	41217267	41217547	7	NA	NA	NA	NA	NA	NA	23	19	NA	NA	NA	NA
chr10	41238369	41238430	5	NA	NA	NA	NA	NA	NA	21	0	NA	NA	NA	NA
chr10	41529263	41529318	6	NA	NA	NA	NA	27	0	NA	NA	NA	NA	NA	NA
chr10	41529605	41529753	12	NA	NA	NA	NA	NA	NA	42	4	34	1	NA	NA
chr10	41995414	41995484	12	NA	NA	45	6	NA	NA	NA	NA	NA	NA	26	0
chr10	42480996	42481092	5	NA	NA	NA	NA	NA	NA	21	0	NA	NA	NA	NA
chr10	42482319	42482652	10	NA	NA	25	0	21	0	39	0	NA	NA	NA	NA
chr10	42644968	42644982	4	22	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	42740942	42740993	7	NA	NA	NA	NA	NA	NA	21	0	NA	NA	NA	NA
chr10	42893793	42893919	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	3
chr10	42965518	42965732	7	NA	NA	NA	NA	NA	NA	21	6	NA	NA	NA	NA
chr10	43200237	43200485	8	55	16	74	17	90	28	110	47	101	18	66	17
chr10	43621976	43622040	4	NA	NA	NA	NA	NA	NA	NA	NA	31	1	NA	NA
chr10	43954941	43955021	4	NA	NA	NA	NA	NA	NA	28	15	20	10	NA	NA
chr10	43955226	43955507	8	38	2	55	10	54	9	61	11	54	11	41	4
chr10	43988671	43988801	5	NA	NA	NA	NA	35	0	32	1	37	0	NA	NA
chr10	44087159	44087195	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	15
chr10	44178357	44178398	7	NA	NA	25	14	NA	NA	NA	NA	NA	NA	NA	NA
chr10	44441696	44441834	5	NA	NA	NA	NA	20	12	NA	NA	NA	NA	NA	NA
chr10	44724224	44724289	3	NA	NA	NA	NA	NA	NA	21	7	NA	NA	NA	NA
chr10	45037525	45037605	6	NA	NA	NA	NA	NA	NA	26	26	NA	NA	NA	NA
chr10	45205349	45205512	13	NA	NA	27	8	27	12	NA	NA	34	10	NA	NA
chr10	45297452	45297687	8	NA	NA	NA	NA	21	1	20	2	NA	NA	NA	NA
chr10	45338773	45338861	3	NA	NA	NA	NA	NA	NA	24	22	NA	NA	NA	NA
